         4666751 function calls (4278882 primitive calls) in 17.153 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  965/562    0.011    0.000    0.076    0.000 E:\Python311\Lib\inspect.py:2426(_signature_from_callable)
      330    0.005    0.000    0.076    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\buffers.py:480(get)
        1    0.000    0.000    0.076    0.076 F:\Ventura\env\Lib\site-packages\sympy\geometry\point.py:1(<module>)
      536    0.001    0.000    0.076    0.000 E:\Python311\Lib\inspect.py:3023(from_callable)
      321    0.002    0.000    0.076    0.000 F:\Ventura\env\Lib\site-packages\torch\_dynamo\eval_frame.py:628(_fn)
       54    0.000    0.000    0.074    0.001 E:\Python311\Lib\re\__init__.py:225(compile)
        1    0.000    0.000    0.074    0.074 F:\Ventura\env\Lib\site-packages\torch\fx\experimental\recording.py:1(<module>)
        1    0.000    0.000    0.073    0.073 F:\Ventura\env\Lib\site-packages\sympy\polys\polytools.py:1(<module>)
       37    0.000    0.000    0.073    0.002 E:\Python311\Lib\re\_compiler.py:738(compile)
        1    0.000    0.000    0.073    0.073 F:\Ventura\env\Lib\site-packages\sympy\geometry\entity.py:1(<module>)
