         4913920 function calls (4584492 primitive calls) in 13.935 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.143    0.143 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\formatter.py:1(<module>)
    12114    0.142    0.000    0.142    0.000 {method 'all' of 'torch._C.TensorBase' objects}
    77792    0.118    0.000    0.142    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2731(named_children)
        1    0.000    0.000    0.142    0.142 F:\Ventura\env\Lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\__init__.py:1(<module>)
     4874    0.020    0.000    0.141    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\torch_layers.py:44(forward)
        1    0.000    0.000    0.140    0.140 F:\Ventura\env\Lib\site-packages\torch\_higher_order_ops\map.py:1(<module>)
        1    0.000    0.000    0.138    0.138 F:\Ventura\env\Lib\site-packages\torch\_functorch\aot_autograd.py:1(<module>)
    16027    0.137    0.000    0.137    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
     5114    0.029    0.000    0.130    0.000 F:\Ventura\env\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
96323/96320    0.074    0.000    0.126    0.000 {built-in method builtins.getattr}
     2368    0.011    0.000    0.126    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\policies.py:660(extract_features)
      471    0.002    0.000    0.125    0.000 F:\Ventura\env\Lib\site-packages\sympy\core\basic.py:182(__init_subclass__)
     2368    0.125    0.000    0.125    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\constraints.py:297(check)
        1    0.000    0.000    0.124    0.124 F:\Ventura\env\Lib\site-packages\sympy\polys\partfrac.py:1(<module>)
        1    0.000    0.000    0.124    0.124 F:\Ventura\env\Lib\site-packages\sympy\utilities\decorator.py:59(xthreaded)
        1    0.000    0.000    0.124    0.124 F:\Ventura\env\Lib\site-packages\sympy\utilities\decorator.py:10(threaded_factory)
      472    0.055    0.000    0.123    0.000 F:\Ventura\env\Lib\site-packages\sympy\core\assumptions.py:614(_prepare_class_assumptions)
      685    0.006    0.000    0.123    0.000 <frozen ntpath>:674(realpath)
        1    0.000    0.000    0.123    0.123 F:\Ventura\env\Lib\site-packages\sympy\matrices\__init__.py:1(<module>)
     5017    0.010    0.000    0.123    0.000 <frozen ntpath>:249(dirname)
        1    0.000    0.000    0.120    0.120 F:\Ventura\env\Lib\site-packages\sympy\core\__init__.py:1(<module>)
     4554    0.013    0.000    0.117    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\utils.py:476(obs_as_tensor)
79454/30511    0.105    0.000    0.117    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:2778(named_modules)
     4202    0.029    0.000    0.116    0.000 E:\Python311\Lib\logging\__init__.py:606(formatTime)
       89    0.001    0.000    0.112    0.001 F:\Ventura\env\Lib\site-packages\sympy\multipledispatch\dispatcher.py:178(add)
       89    0.000    0.000    0.111    0.001 F:\Ventura\env\Lib\site-packages\sympy\multipledispatch\dispatcher.py:222(reorder)
     2101    0.012    0.000    0.110    0.000 E:\Python311\Lib\logging\__init__.py:1087(flush)
    40158    0.077    0.000    0.109    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\parameter.py:10(__instancecheck__)
     1370    0.105    0.000    0.105    0.000 {built-in method nt._getfinalpathname}
    17149    0.082    0.000    0.105    0.000 <frozen ntpath>:154(splitdrive)
     4554    0.102    0.000    0.102    0.000 {built-in method torch.as_tensor}
     5280    0.065    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.101    0.101 F:\Ventura\env\Lib\site-packages\mpmath\__init__.py:1(<module>)
    57936    0.096    0.000    0.096    0.000 {built-in method torch._C._get_tracing_state}
    72630    0.096    0.000    0.096    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\module.py:1918(__getattr__)
    40149    0.066    0.000    0.094    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\parameter.py:216(__instancecheck__)
     5015    0.039    0.000    0.093    0.000 <frozen ntpath>:107(join)
     2048    0.008    0.000    0.092    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\monitor.py:85(step)
        1    0.000    0.000    0.092    0.092 F:\Ventura\env\Lib\site-packages\sympy\geometry\__init__.py:1(<module>)
        1    0.000    0.000    0.091    0.091 F:\Ventura\main\indicators.py:5(initialize_indicators)
     4873    0.008    0.000    0.088    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\categorical.py:100(probs)
     8970    0.087    0.000    0.087    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
     2101    0.087    0.000    0.087    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     4553    0.071    0.000    0.086    0.000 F:\Ventura\env\Lib\site-packages\gym_anytrading\envs\stocks_env.py:28(_calculate_reward)
        1    0.000    0.000    0.085    0.085 F:\Ventura\env\Lib\site-packages\ta\volatility.py:31(__init__)
        1    0.007    0.007    0.085    0.085 F:\Ventura\env\Lib\site-packages\ta\volatility.py:46(_run)
     5034    0.020    0.000    0.083    0.000 F:\Ventura\env\Lib\site-packages\pandas\core\generic.py:807(_set_axis)
        1    0.000    0.000    0.082    0.082 F:\Ventura\env\Lib\site-packages\mpmath\ctx_fp.py:1(<module>)
      536    0.001    0.000    0.080    0.000 E:\Python311\Lib\inspect.py:3277(signature)
     4873    0.011    0.000    0.080    0.000 F:\Ventura\env\Lib\site-packages\torch\distributions\utils.py:82(logits_to_probs)
     4874    0.026    0.000    0.080    0.000 F:\Ventura\env\Lib\site-packages\stable_baselines3\common\preprocessing.py:92(preprocess_obs)
  965/562    0.012    0.000    0.080    0.000 E:\Python311\Lib\inspect.py:2426(_signature_from_callable)
      536    0.001    0.000    0.079    0.000 E:\Python311\Lib\inspect.py:3023(from_callable)
        1    0.000    0.000    0.079    0.079 F:\Ventura\env\Lib\site-packages\sympy\core\expr.py:1(<module>)
        1    0.000    0.000    0.078    0.078 F:\Ventura\env\Lib\site-packages\torch\distributed\_shard\__init__.py:1(<module>)
        1    0.000    0.000    0.078    0.078 F:\Ventura\env\Lib\site-packages\torch\_functorch\_aot_autograd\autograd_cache.py:1(<module>)
        1    0.000    0.000    0.078    0.078 F:\Ventura\env\Lib\site-packages\mpmath\ctx_base.py:1(<module>)
     1055    0.002    0.000    0.077    0.000 E:\Python311\Lib\re\__init__.py:272(_compile)
     4173    0.011    0.000    0.076    0.000 E:\Python311\Lib\enum.py:688(__call__)
        1    0.000    0.000    0.076    0.076 F:\Ventura\env\Lib\site-packages\torch\distributed\_shard\api.py:1(<module>)
       66    0.000    0.000    0.076    0.001 E:\Python311\Lib\re\__init__.py:225(compile)
     4874    0.008    0.000    0.075    0.000 F:\Ventura\env\Lib\site-packages\torch\nn\modules\flatten.py:52(forward)
160965/147776    0.062    0.000    0.075    0.000 {built-in method builtins.len}
